[1823, 1375]
[folio, [647.0, 84.0, 72.0, 36.0], shoonya_1s1LQ9WHJ9KG38, 5683670]
[paragraph, [97.0, 162.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [97.0, 198.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [97.0, 234.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [97.0, 270.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [97.0, 306.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [97.0, 342.0, 1181.0, 36.0], shoonya_0s2K2X8RNL8BU7, 5683670]
[paragraph, [92.0, 399.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 435.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 471.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 507.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 543.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 579.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 615.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 651.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 687.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 723.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 759.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 795.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 831.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 867.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 903.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 939.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 975.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 1011.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 1047.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 1083.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 1119.0, 1191.0, 36.0], u009xh0jFT, 5683670]
[paragraph, [92.0, 1174.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [92.0, 1210.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [92.0, 1246.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [92.0, 1282.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [92.0, 1318.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [92.0, 1354.0, 1189.0, 36.0], rhv2FxG9XU, 5683670]
[paragraph, [94.0, 1411.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1447.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1483.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1519.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1555.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1591.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1627.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1663.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
[paragraph, [94.0, 1699.0, 1187.0, 36.0], -dpmuCmZ3S, 5683670]
