[1350, 900]
[folio, [184.0, 199.0, 208.0, 18.0], shoonya_7sPVG5X0QZ5H7M, 5759644]
[paragraph, [163.0, 249.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 267.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 285.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 303.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 321.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 339.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 357.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 375.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [163.0, 393.0, 554.0, 18.0], shoonya_5sVO332HOAOHIN, 5759644]
[paragraph, [158.0, 432.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 450.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 468.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 486.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 504.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 522.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [158.0, 540.0, 553.0, 18.0], shoonya_0sOOTV7LRUBDL1, 5759644]
[paragraph, [157.0, 582.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 600.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 618.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 636.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 654.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 672.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 690.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 708.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [157.0, 726.0, 553.0, 18.0], shoonya_1sXW25914WUCGB, 5759644]
[paragraph, [154.0, 763.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [154.0, 781.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [154.0, 799.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [154.0, 817.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [154.0, 835.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [154.0, 853.0, 562.0, 18.0], u3iajVTrbu, 5759644]
[paragraph, [156.0, 880.0, 559.0, 18.0], vzdl7lofHg, 5759644]
[paragraph, [156.0, 898.0, 559.0, 18.0], vzdl7lofHg, 5759644]
[paragraph, [156.0, 916.0, 559.0, 18.0], vzdl7lofHg, 5759644]
[paragraph, [156.0, 934.0, 559.0, 18.0], vzdl7lofHg, 5759644]
[paragraph, [150.0, 969.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 987.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 1005.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 1023.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 1041.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 1059.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[paragraph, [150.0, 1077.0, 562.0, 18.0], 1tlIpor_Qz, 5759644]
[footnote, [192.0, 1111.0, 106.0, 18.0], shoonya_4sMGSJLQ4GS19Q, 5759644]
