[1361, 826]
[folio, [103.0, 55.0, 114.0, 18.0], efUuQEHYzj, 5782324]
[folio, [103.0, 73.0, 114.0, 18.0], efUuQEHYzj, 5782324]
[folio, [294.0, 113.0, 262.0, 18.0], shoonya_5sVOA18AAYRTWH, 5782324]
[ordered-list, [100.0, 152.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 170.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 188.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 206.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 224.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 242.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 260.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 278.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 296.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [100.0, 314.0, 648.0, 18.0], shoonya_11s2R6D49FNDYV, 5782324]
[ordered-list, [97.0, 349.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 367.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 385.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 403.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 421.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 439.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 457.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 475.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 493.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 511.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 529.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 547.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 565.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 583.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 601.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 619.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 637.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 655.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 673.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[ordered-list, [97.0, 691.0, 662.0, 18.0], BxDdCVBjm3, 5782324]
[sub-ordered-list, [97.0, 371.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 389.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 407.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 425.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 443.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 461.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 479.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 497.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 515.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 533.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 551.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 569.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 587.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 605.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 623.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 641.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 659.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[sub-ordered-list, [97.0, 677.0, 652.0, 18.0], shoonya_4sS4V4L2VV6IMK, 5782324]
[section-title, [251.0, 801.0, 347.0, 30.0], shoonya_1sJXXXR3Z8898N, 5782324]
[section-title, [251.0, 831.0, 347.0, 30.0], shoonya_1sJXXXR3Z8898N, 5782324]
[ordered-list, [92.0, 893.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 911.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 929.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 947.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 965.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 983.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
[ordered-list, [92.0, 1001.0, 678.0, 18.0], shoonya_10sLNS9GGHAX74, 5782324]
