[2520, 1740]
[headline, [0.0, 0.0, 1731.0, 52.5], shoonya_5sZ5OQCCD4K8B8, 5694130]
[headline, [0.0, 52.5, 1731.0, 52.5], shoonya_5sZ5OQCCD4K8B8, 5694130]
[headline, [0.0, 105.0, 1731.0, 52.5], shoonya_5sZ5OQCCD4K8B8, 5694130]
[section-title, [1129.0, 621.0, 399.0, 79.5], shoonya_2sXGD3FWHHPSVQ, 5694130]
[paragraph, [1125.0, 737.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 783.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 830.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 876.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 923.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 969.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1016.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1062.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1109.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1155.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1202.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1248.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1295.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1341.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1388.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1434.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1481.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1527.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1574.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1620.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1667.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1713.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1760.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1806.5, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[paragraph, [1125.0, 1853.0, 450.0, 46.5], shoonya_0sU45Y52JTYFIG, 5694130]
[figure-caption, [106.0, 2289.0, 216.0, 46.5], shoonya_4sFYIUJRUXTS96, 5694130]
[figure-caption, [106.0, 2335.5, 216.0, 46.5], shoonya_4sFYIUJRUXTS96, 5694130]
