[542, 329]
[folio, [142.0, 19.0, 49.0, 18.0], yBdpigLfEM, 5701314]
[paragraph, [11.0, 43.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 61.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 79.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 97.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 115.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 133.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 151.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 169.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 187.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 205.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 223.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 241.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 259.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 277.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 295.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 313.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 331.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 349.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 367.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 385.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 403.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 421.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 439.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 457.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [11.0, 475.0, 308.0, 18.0], shoonya_0sVWMKS96ZHS8A, 5701314]
[paragraph, [43.0, 509.0, 264.0, 18.0], JKIrsdEwkA, 5701314]
