[1650, 1275]
[folio, [144.0, 73.0, 484.0, 36.0], shoonya_1sJGFKP4NUSA05, 5780818]
[paragraph, [146.0, 161.0, 980.0, 36.0], shoonya_2s8YIOL62DZ7FW, 5780818]
[reference, [132.0, 315.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 351.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 387.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 423.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 459.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 495.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 531.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 567.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 603.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 639.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 675.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 711.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 747.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 783.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 819.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
[reference, [132.0, 855.0, 1008.0, 36.0], shoonya_0sIPZ8OZ8WT2O4, 5780818]
