[1951, 1219]
[folio, [216.0, 121.0, 181.0, 36.0], B5XRHsbebf, 5682100]
[paragraph, [121.0, 214.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [121.0, 250.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [121.0, 286.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [121.0, 322.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [121.0, 358.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [121.0, 394.0, 966.0, 36.0], s8FheUgB0T, 5682100]
[paragraph, [127.0, 454.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 490.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 526.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 562.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 598.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 634.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [127.0, 670.0, 959.0, 36.0], idooJvKDFP, 5682100]
[paragraph, [135.0, 743.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 779.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 815.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 851.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 887.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 923.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [135.0, 959.0, 953.0, 36.0], 4-_EwTXHBN, 5682100]
[paragraph, [140.0, 1034.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1070.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1106.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1142.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1178.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1214.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1250.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1286.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1322.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1358.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1394.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1430.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1466.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1502.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1538.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1574.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1610.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1646.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1682.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1718.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1754.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
[paragraph, [140.0, 1790.0, 959.0, 36.0], iYPa2w3vJ4, 5682100]
