[3508, 2481]
[contact-info, [702.0, 351.0, 1103.0, 52.5], TczC2pqQGR, 6490845]
[contact-info, [702.0, 403.5, 1103.0, 52.5], TczC2pqQGR, 6490845]
[headline, [687.0, 556.0, 1091.0, 52.5], 9lIDceg36h, 6490845]
[headline, [687.0, 608.5, 1091.0, 52.5], 9lIDceg36h, 6490845]
[headline, [687.0, 661.0, 1091.0, 52.5], 9lIDceg36h, 6490845]
[dateline, [1797.0, 939.0, 475.0, 52.5], UY0oH4ABP7, 6490845]
[dateline, [1797.0, 991.5, 475.0, 52.5], UY0oH4ABP7, 6490845]
[paragraph, [208.0, 1209.0, 516.0, 52.5], 3ht49c9YTI, 6490845]
[paragraph, [192.0, 1327.0, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [192.0, 1379.5, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [192.0, 1432.0, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [192.0, 1484.5, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [192.0, 1537.0, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [192.0, 1589.5, 2117.0, 52.5], ilSwEBX7Xs, 6490845]
[paragraph, [208.0, 1918.0, 2083.0, 52.5], kdqARHwC9J, 6490845]
[paragraph, [208.0, 1970.5, 2083.0, 52.5], kdqARHwC9J, 6490845]
[paragraph, [208.0, 2023.0, 2083.0, 52.5], kdqARHwC9J, 6490845]
[paragraph, [208.0, 2075.5, 2083.0, 52.5], kdqARHwC9J, 6490845]
[contact-info, [1787.0, 2469.0, 500.0, 52.5], rY1cBCJbay, 6490845]
[contact-info, [1787.0, 2521.5, 500.0, 52.5], rY1cBCJbay, 6490845]
[contact-info, [945.0, 3268.0, 572.0, 52.5], zxPdz90h9e, 6490845]
[contact-info, [945.0, 3320.5, 572.0, 52.5], zxPdz90h9e, 6490845]
