[2339, 1653]
[paragraph, [245.0, 248.0, 1155.0, 36.0], shoonya_2s6ZBQRIPHOLNG, 5685703]
[paragraph, [245.0, 284.0, 1155.0, 36.0], shoonya_2s6ZBQRIPHOLNG, 5685703]
[paragraph, [245.0, 320.0, 1155.0, 36.0], shoonya_2s6ZBQRIPHOLNG, 5685703]
[paragraph, [245.0, 356.0, 1155.0, 36.0], shoonya_2s6ZBQRIPHOLNG, 5685703]
[paragraph, [245.0, 392.0, 1155.0, 36.0], shoonya_2s6ZBQRIPHOLNG, 5685703]
[paragraph, [243.0, 448.0, 1161.0, 36.0], MG3GfnvIv6, 5685703]
[paragraph, [243.0, 484.0, 1161.0, 36.0], MG3GfnvIv6, 5685703]
[paragraph, [243.0, 520.0, 1161.0, 36.0], MG3GfnvIv6, 5685703]
[paragraph, [442.0, 578.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[paragraph, [442.0, 614.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[paragraph, [442.0, 650.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[paragraph, [442.0, 686.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[paragraph, [442.0, 722.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[paragraph, [442.0, 758.0, 836.0, 36.0], 2BnXVoKrft, 5685703]
[reference, [446.0, 816.0, 353.0, 36.0], zD6n53G1Rt, 5685703]
[paragraph, [247.0, 878.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 914.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 950.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 986.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1022.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1058.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1094.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1130.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1166.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [247.0, 1202.0, 1157.0, 36.0], shoonya_0sKC8DLWQ0YXGO, 5685703]
[paragraph, [253.0, 1276.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1312.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1348.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1384.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1420.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1456.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1492.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1528.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1564.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1600.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1636.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1672.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1708.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1744.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1780.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1816.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1852.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1888.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1924.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1960.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 1996.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 2032.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
[paragraph, [253.0, 2068.0, 1150.0, 36.0], shoonya_1sIPFFS4Z0LIMR, 5685703]
