[1063, 680]
[paragraph, [60.0, 177.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 195.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 213.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 231.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 249.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 267.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 285.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 303.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 321.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 339.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 357.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 375.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 393.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 411.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 429.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 447.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 465.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 483.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 501.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 519.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 537.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 555.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 573.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 591.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 609.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 627.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 645.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 663.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 681.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 699.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 717.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 735.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 753.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 771.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 789.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 807.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 825.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 843.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 861.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 879.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 897.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 915.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 933.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 951.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 969.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[paragraph, [60.0, 987.0, 545.0, 18.0], 1VkUMKju-m, 5739723]
[footnote, [450.0, 1018.0, 196.0, 18.0], HvOsXm7S6s, 5739723]
