[1050, 693]
[section-title, [301.0, 362.0, 93.0, 30.0], shoonya_2sSEVSZO0OM43S, 5702256]
[paragraph, [83.0, 429.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 447.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 465.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 483.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 501.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 519.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 537.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 555.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [83.0, 573.0, 528.0, 18.0], shoonya_1sLJBW5CHF4A75, 5702256]
[paragraph, [82.0, 605.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 623.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 641.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 659.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 677.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 695.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 713.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 731.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 749.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 767.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 785.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 803.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 821.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 839.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 857.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 875.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 893.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 911.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 929.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
[paragraph, [82.0, 947.0, 527.0, 18.0], shoonya_0sVY5CFK8NYNZI, 5702256]
