[2339, 1654]
[folio, [93.0, 82.0, 607.0, 36.0], EGS4kgKRW1, 5750500]
[paragraph, [99.0, 136.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 172.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 208.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 244.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 280.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 316.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 352.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 388.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 424.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 460.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 496.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 532.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 568.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 604.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 640.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 676.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 712.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 748.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 784.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 820.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 856.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [99.0, 892.0, 1445.0, 36.0], shoonya_1sWXWC1YFWB0GH, 5750500]
[paragraph, [245.0, 966.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1002.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1038.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1074.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1110.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1146.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[paragraph, [245.0, 1182.0, 1153.0, 36.0], shoonya_2sWOR603UYFH1J, 5750500]
[reference, [1029.0, 1224.0, 376.0, 36.0], HcDl9xJ-m7, 5750500]
[paragraph, [100.0, 1287.0, 1449.0, 36.0], shoonya_0sI3ZSAIOT4D1O, 5750500]
[paragraph, [100.0, 1323.0, 1449.0, 36.0], shoonya_0sI3ZSAIOT4D1O, 5750500]
[paragraph, [100.0, 1359.0, 1449.0, 36.0], shoonya_0sI3ZSAIOT4D1O, 5750500]
[paragraph, [100.0, 1395.0, 1449.0, 36.0], shoonya_0sI3ZSAIOT4D1O, 5750500]
