[2338, 1654]
[paragraph, [388.0, 193.0, 422.0, 36.0], shoonya_5sRITCH2PNACUI, 5753839]
[paragraph, [182.0, 254.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 290.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 326.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 362.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 398.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 434.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 470.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 506.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 542.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 578.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 614.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 650.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 686.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 722.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 758.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 794.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 830.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [182.0, 866.0, 1279.0, 36.0], shoonya_1sUWXYTQY0RM17, 5753839]
[paragraph, [183.0, 915.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 951.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 987.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1023.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1059.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1095.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1131.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1167.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1203.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1239.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1275.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1311.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1347.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1383.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1419.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [183.0, 1455.0, 1274.0, 36.0], shoonya_0sYMQYTVMLO07F, 5753839]
[paragraph, [305.0, 1506.0, 554.0, 36.0], shoonya_8sEUT7UCE88L5P, 5753839]
[paragraph, [310.0, 1571.0, 680.0, 36.0], shoonya_7sYOLTA7Y8BGW3, 5753839]
[paragraph, [304.0, 1637.0, 582.0, 36.0], shoonya_6s4KJKH8SF7CQ1, 5753839]
[paragraph, [184.0, 1703.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1739.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1775.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1811.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1847.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1883.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1919.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1955.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 1991.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
[paragraph, [184.0, 2027.0, 1274.0, 36.0], shoonya_2sDIBK2F49RJCD, 5753839]
