[668, 446]
[folio, [254.0, 57.0, 147.0, 18.0], x4urleAnPL, 6494966]
[paragraph, [52.0, 81.0, 343.0, 18.0], ezhppeUyAv, 6494966]
[paragraph, [52.0, 99.0, 343.0, 18.0], ezhppeUyAv, 6494966]
[paragraph, [52.0, 117.0, 343.0, 18.0], ezhppeUyAv, 6494966]
[paragraph, [47.0, 154.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 172.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 190.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 208.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 226.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 244.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 262.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [47.0, 280.0, 351.0, 18.0], w1NfI2MXZ4, 6494966]
[paragraph, [49.0, 309.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 327.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 345.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 363.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 381.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 399.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 417.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 435.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 453.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 471.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 489.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 507.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 525.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 543.0, 351.0, 18.0], AG9uzpcOly, 6494966]
[paragraph, [49.0, 561.0, 351.0, 18.0], AG9uzpcOly, 6494966]
