[2339, 1656]
[ordered-list, [219.0, 267.0, 1217.0, 36.0], shoonya_0sABSM76LN7RVO, 5656477]
[ordered-list, [219.0, 303.0, 1217.0, 36.0], shoonya_0sABSM76LN7RVO, 5656477]
[ordered-list, [215.0, 429.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 465.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 501.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 537.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 573.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 609.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 645.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 681.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 717.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 753.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 789.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 825.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 861.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 897.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 933.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 969.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1005.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1041.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1077.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1113.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1149.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1185.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1221.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1257.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1293.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1329.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1365.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1401.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1437.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1473.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1509.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1545.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1581.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1617.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1653.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1689.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1725.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1761.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1797.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1833.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1869.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1905.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1941.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 1977.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
[ordered-list, [215.0, 2013.0, 1262.0, 36.0], shoonya_4s8FUHJX6DI7DF, 5656477]
