[2200, 1700]
[paragraph, [376.0, 115.0, 1132.0, 36.0], shoonya_4sFUIXAY5YVTC9, 5733986]
[paragraph, [376.0, 151.0, 1132.0, 36.0], shoonya_4sFUIXAY5YVTC9, 5733986]
[paragraph, [376.0, 187.0, 1132.0, 36.0], shoonya_4sFUIXAY5YVTC9, 5733986]
[paragraph, [376.0, 223.0, 1132.0, 36.0], shoonya_4sFUIXAY5YVTC9, 5733986]
[paragraph, [373.0, 302.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 338.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 374.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 410.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 446.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 482.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 518.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 554.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 590.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 626.0, 1133.0, 36.0], shoonya_0sQB20LJD6MULZ, 5733986]
[paragraph, [373.0, 712.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 748.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 784.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 820.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 856.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 892.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 928.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 964.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1000.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1036.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1072.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1108.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1144.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1180.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1216.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [373.0, 1252.0, 1131.0, 36.0], shoonya_1sF8J9PME0OM2A, 5733986]
[paragraph, [372.0, 1346.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1382.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1418.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1454.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1490.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1526.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1562.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1598.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1634.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1670.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1706.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [372.0, 1742.0, 1132.0, 36.0], shoonya_2sCCCNBZRIY71E, 5733986]
[paragraph, [373.0, 1814.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 1850.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 1886.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 1922.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 1958.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 1994.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
[paragraph, [373.0, 2030.0, 1133.0, 36.0], shoonya_3sDQBDVFJS19B4, 5733986]
