[710, 559]
[folio, [53.0, 24.0, 114.0, 18.0], CwgGtFZoRY, 5759751]
[paragraph, [47.0, 60.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 78.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 96.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 114.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 132.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 150.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 168.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [47.0, 186.0, 463.0, 18.0], shoonya_2sXZLQ9VSN5YG9, 5759751]
[paragraph, [49.0, 215.0, 460.0, 18.0], shoonya_3sMDDCJRQR7GKF, 5759751]
[paragraph, [49.0, 233.0, 460.0, 18.0], shoonya_3sMDDCJRQR7GKF, 5759751]
[paragraph, [49.0, 251.0, 460.0, 18.0], shoonya_3sMDDCJRQR7GKF, 5759751]
[paragraph, [49.0, 269.0, 460.0, 18.0], shoonya_3sMDDCJRQR7GKF, 5759751]
[paragraph, [49.0, 287.0, 460.0, 18.0], shoonya_3sMDDCJRQR7GKF, 5759751]
[paragraph, [48.0, 319.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 337.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 355.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 373.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 391.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 409.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 427.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 445.0, 460.0, 18.0], shoonya_0sVY2A2BQJKLGP, 5759751]
[paragraph, [48.0, 475.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [48.0, 493.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [48.0, 511.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [48.0, 529.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [48.0, 547.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [48.0, 565.0, 459.0, 18.0], shoonya_1sOK1FXE8Q0MFR, 5759751]
[paragraph, [47.0, 606.0, 460.0, 18.0], shoonya_4sZUKD4JCDRQAV, 5759751]
[paragraph, [47.0, 624.0, 460.0, 18.0], shoonya_4sZUKD4JCDRQAV, 5759751]
[paragraph, [47.0, 642.0, 460.0, 18.0], shoonya_4sZUKD4JCDRQAV, 5759751]
[paragraph, [47.0, 660.0, 460.0, 18.0], shoonya_4sZUKD4JCDRQAV, 5759751]
