[1359, 917]
[paragraph, [3.0, 133.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 151.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 169.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 187.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 205.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 223.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 241.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 259.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 277.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 295.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 313.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 331.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 349.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 367.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 385.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 403.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 421.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 439.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 457.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 475.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 493.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 511.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 529.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 547.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[paragraph, [3.0, 565.0, 403.0, 18.0], tXQpGAkhNr, 5660760]
[figure-caption, [581.0, 558.0, 179.0, 18.0], uBNk7Nq9Iy, 5660760]
[figure-caption, [581.0, 576.0, 179.0, 18.0], uBNk7Nq9Iy, 5660760]
[paragraph, [10.0, 607.0, 759.0, 18.0], jEBzVjZ49N, 5660760]
[paragraph, [10.0, 625.0, 759.0, 18.0], jEBzVjZ49N, 5660760]
[paragraph, [10.0, 643.0, 759.0, 18.0], jEBzVjZ49N, 5660760]
[paragraph, [10.0, 661.0, 759.0, 18.0], jEBzVjZ49N, 5660760]
[section-title, [253.0, 703.0, 271.0, 30.0], shoonya_2sPUV3GOKJ8SOR, 5660760]
[paragraph, [7.0, 758.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 776.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 794.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 812.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 830.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 848.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [7.0, 866.0, 768.0, 18.0], shoonya_1sCXNP41Q5WSYY, 5660760]
[paragraph, [2.0, 894.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 912.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 930.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 948.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 966.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 984.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1002.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1020.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1038.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1056.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1074.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1092.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1110.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1128.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1146.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1164.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1182.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1200.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1218.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
[paragraph, [2.0, 1236.0, 770.0, 18.0], shoonya_0sUCGA3G9OI7IW, 5660760]
