[1034, 680]
[folio, [200.0, 65.0, 239.0, 18.0], QSDa9uQqnm, 5739563]
[folio, [200.0, 83.0, 239.0, 18.0], QSDa9uQqnm, 5739563]
[paragraph, [64.0, 117.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 135.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 153.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 171.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 189.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 207.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 225.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [64.0, 243.0, 544.0, 18.0], shoonya_0sNRED7OUQ8UDE, 5739563]
[paragraph, [66.0, 277.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 295.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 313.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 331.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 349.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 367.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 385.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 403.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 421.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 439.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 457.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 475.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 493.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [66.0, 511.0, 548.0, 18.0], YDz1WbYTh7, 5739563]
[paragraph, [67.0, 537.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 555.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 573.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 591.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 609.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 627.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 645.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 663.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 681.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 699.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 717.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 735.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 753.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 771.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 789.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 807.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 825.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 843.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 861.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 879.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 897.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 915.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
[paragraph, [67.0, 933.0, 546.0, 18.0], Mq-m2x8F34, 5739563]
