[842, 596]
[website-link, [406.0, 25.0, 133.0, 18.0], 3yy_KiDrAW, 6464280]
[folio, [61.0, 30.0, 84.0, 18.0], BLIHSJJ8bF, 6464280]
[paragraph, [132.0, 55.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 73.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 91.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 109.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 127.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 145.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 163.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 181.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 199.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 217.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 235.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 253.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 271.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 289.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 307.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 325.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 343.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 361.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 379.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 397.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 415.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 433.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 451.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 469.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 487.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 505.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 523.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 541.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 559.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 577.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 595.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 613.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 631.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 649.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 667.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[paragraph, [132.0, 685.0, 292.0, 18.0], shoonya_2sU5SVI0UKH6DX, 6464280]
[footnote, [68.0, 745.0, 73.0, 18.0], shoonya_1sKOUCAU4OG9ID, 6464280]
