[2084, 1289]
[paragraph, [124.0, 266.0, 1026.0, 36.0], shoonya_4sCBA7C1UQZBSB, 5660319]
[paragraph, [124.0, 302.0, 1026.0, 36.0], shoonya_4sCBA7C1UQZBSB, 5660319]
[paragraph, [124.0, 338.0, 1026.0, 36.0], shoonya_4sCBA7C1UQZBSB, 5660319]
[paragraph, [124.0, 374.0, 1026.0, 36.0], shoonya_4sCBA7C1UQZBSB, 5660319]
[paragraph, [128.0, 424.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 460.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 496.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 532.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 568.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 604.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 640.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [128.0, 676.0, 1032.0, 36.0], shoonya_3sA3SJZBBUOLYG, 5660319]
[paragraph, [130.0, 730.0, 1023.0, 36.0], shoonya_2s55YAE5OXBPKV, 5660319]
[paragraph, [130.0, 766.0, 1023.0, 36.0], shoonya_2s55YAE5OXBPKV, 5660319]
[paragraph, [130.0, 802.0, 1023.0, 36.0], shoonya_2s55YAE5OXBPKV, 5660319]
[paragraph, [130.0, 838.0, 1023.0, 36.0], shoonya_2s55YAE5OXBPKV, 5660319]
[paragraph, [133.0, 890.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 926.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 962.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 998.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1034.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1070.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1106.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1142.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1178.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1214.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1250.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [133.0, 1286.0, 1025.0, 36.0], shoonya_0sDART94F5A2J9, 5660319]
[paragraph, [137.0, 1342.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1378.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1414.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1450.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1486.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1522.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1558.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1594.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1630.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1666.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1702.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [137.0, 1738.0, 1021.0, 36.0], shoonya_1sTYP11GEQ6F79, 5660319]
[paragraph, [143.0, 1785.0, 1020.0, 36.0], shoonya_5sNLC0ME93VI52, 5660319]
[paragraph, [143.0, 1821.0, 1020.0, 36.0], shoonya_5sNLC0ME93VI52, 5660319]
[folio, [632.0, 1938.0, 656.0, 36.0], shoonya_6sWVBO19Y9TP09, 5660319]
[folio, [632.0, 1974.0, 656.0, 36.0], shoonya_6sWVBO19Y9TP09, 5660319]
