[864, 612]
[paragraph, [87.0, 69.0, 197.0, 18.0], 1XUHGqREYf, 5717745]
[ordered-list, [82.0, 96.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 114.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 132.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 150.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 168.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 186.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 204.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 222.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 240.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 258.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 276.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 294.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 312.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 330.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 348.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 366.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 384.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 402.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 420.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[ordered-list, [82.0, 438.0, 475.0, 18.0], eYIJ1PaTy7, 5717745]
[sub-ordered-list, [97.0, 118.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[sub-ordered-list, [97.0, 136.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[sub-ordered-list, [97.0, 154.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[sub-ordered-list, [97.0, 172.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[sub-ordered-list, [97.0, 190.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[sub-ordered-list, [97.0, 208.0, 450.0, 18.0], ggjMwZy07m, 5717745]
[ordered-list, [52.0, 475.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 493.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 511.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 529.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 547.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 565.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 583.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 601.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 619.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 637.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 655.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 673.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 691.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 709.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 727.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 745.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 763.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[ordered-list, [52.0, 781.0, 518.0, 18.0], YhAAFa7Q7E, 5717745]
[sub-ordered-list, [79.0, 513.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 531.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 549.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 567.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 585.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 603.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 621.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 639.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 657.0, 471.0, 18.0], DZrV2hymvC, 5717745]
[sub-ordered-list, [79.0, 675.0, 471.0, 18.0], DZrV2hymvC, 5717745]
