[3300, 2550]
[paragraph, [283.0, 235.0, 2004.0, 52.5], EylxSrdWAl, 5719991]
[paragraph, [283.0, 287.5, 2004.0, 52.5], EylxSrdWAl, 5719991]
[paragraph, [283.0, 340.0, 2004.0, 52.5], EylxSrdWAl, 5719991]
[paragraph, [283.0, 392.5, 2004.0, 52.5], EylxSrdWAl, 5719991]
[paragraph, [280.0, 487.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 539.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 592.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 644.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 697.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 749.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 802.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 854.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 907.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 959.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1012.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1064.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1117.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1169.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1222.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1274.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1327.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1379.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1432.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1484.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1537.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1589.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1642.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1694.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1747.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1799.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1852.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1904.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 1957.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 2009.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 2062.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 2114.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 2167.0, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[paragraph, [280.0, 2219.5, 2004.0, 52.5], PGBXVwzKTN, 5719991]
[section-title, [270.0, 2330.0, 701.0, 93.0], sKWYZpGH0L, 5719991]
[paragraph, [283.0, 2458.0, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2510.5, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2563.0, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2615.5, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2668.0, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2720.5, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2773.0, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2825.5, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
[paragraph, [283.0, 2878.0, 1998.0, 52.5], 4FuxdnrBQC, 5719991]
