[1200, 825]
[paragraph, [138.0, 105.0, 545.0, 18.0], Dv12JGPQqU, 5691213]
[paragraph, [138.0, 123.0, 545.0, 18.0], Dv12JGPQqU, 5691213]
[paragraph, [138.0, 141.0, 545.0, 18.0], Dv12JGPQqU, 5691213]
[paragraph, [143.0, 173.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 191.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 209.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 227.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 245.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 263.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 281.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 299.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 317.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 335.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 353.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 371.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 389.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 407.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 425.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 443.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [143.0, 461.0, 538.0, 18.0], shoonya_2sMY16ITO64CQK, 5691213]
[paragraph, [145.0, 479.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 497.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 515.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 533.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 551.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 569.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 587.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 605.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 623.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 641.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [145.0, 659.0, 536.0, 18.0], shoonya_1sZ0ZRUQPQMIVQ, 5691213]
[paragraph, [143.0, 693.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 711.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 729.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 747.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 765.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 783.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 801.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 819.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 837.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 855.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 873.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 891.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 909.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 927.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 945.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 963.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 981.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 999.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 1017.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
[paragraph, [143.0, 1035.0, 539.0, 18.0], shoonya_0sQRC9SPNQQIMC, 5691213]
