[2339, 1653]
[paragraph, [388.0, 197.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 233.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 269.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 305.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 341.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 377.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 413.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 449.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 485.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 521.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 557.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 593.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 629.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [388.0, 665.0, 1072.0, 36.0], shoonya_2sNDARQNHW4IGU, 5733917]
[paragraph, [390.0, 725.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[paragraph, [390.0, 761.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[paragraph, [390.0, 797.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[paragraph, [390.0, 833.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[paragraph, [390.0, 869.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[paragraph, [390.0, 905.0, 1071.0, 36.0], shoonya_3s1UDGHVDQ207T, 5733917]
[section-title, [490.0, 1014.0, 269.0, 52.5], shoonya_4sCVXGDYMX36BP, 5733917]
[paragraph, [388.0, 1078.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1114.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1150.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1186.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1222.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1258.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1294.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1330.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1366.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1402.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1438.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1474.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1510.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1546.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1582.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1618.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1654.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1690.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1726.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1762.0, 1070.0, 36.0], shoonya_1sN8FWPNIPWH80, 5733917]
[paragraph, [388.0, 1832.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 1868.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 1904.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 1940.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 1976.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 2012.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[paragraph, [388.0, 2048.0, 1077.0, 36.0], shoonya_0sZZ5SIN8X73FY, 5733917]
[folio, [1112.0, 2171.0, 270.0, 36.0], shoonya_5sKDBN0MDMRYA3, 5733917]
