[611, 425]
[section-title, [170.0, 91.0, 101.0, 30.0], bkLkpCcIUp, 6494133]
[paragraph, [53.0, 150.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 168.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 186.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 204.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 222.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 240.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 258.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 276.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 294.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 312.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 330.0, 326.0, 18.0], shoonya_0s5MHHEKN3OZRD, 6494133]
[paragraph, [53.0, 359.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 377.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 395.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 413.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 431.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 449.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 467.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 485.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 503.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 521.0, 319.0, 18.0], Da41fh6L_6, 6494133]
[paragraph, [53.0, 539.0, 319.0, 18.0], Da41fh6L_6, 6494133]
