[2032, 1447]
[paragraph, [200.0, 156.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 192.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 228.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 264.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 300.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 336.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 372.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 408.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 444.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[paragraph, [200.0, 480.0, 1085.0, 36.0], shoonya_2sMPRPKZF8VBNY, 5650728]
[section-title, [201.0, 584.0, 210.0, 52.5], shoonya_5sW2SQXY58E3HB, 5650728]
[paragraph, [201.0, 687.0, 1082.0, 36.0], shoonya_3sVSBPIYNVDATV, 5650728]
[paragraph, [201.0, 723.0, 1082.0, 36.0], shoonya_3sVSBPIYNVDATV, 5650728]
[paragraph, [201.0, 759.0, 1082.0, 36.0], shoonya_3sVSBPIYNVDATV, 5650728]
[paragraph, [201.0, 795.0, 1082.0, 36.0], shoonya_3sVSBPIYNVDATV, 5650728]
[paragraph, [201.0, 831.0, 1082.0, 36.0], shoonya_3sVSBPIYNVDATV, 5650728]
[paragraph, [195.0, 911.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 947.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 983.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1019.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1055.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1091.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1127.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1163.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1199.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1235.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1271.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1307.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1343.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1379.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1415.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [195.0, 1451.0, 1090.0, 36.0], shoonya_0sD4M65CU436A2, 5650728]
[paragraph, [205.0, 1539.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1575.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1611.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1647.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1683.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1719.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1755.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1791.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1827.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1863.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
[paragraph, [205.0, 1899.0, 1082.0, 36.0], shoonya_1s6NDMHR4ZTDWD, 5650728]
