[1320, 1176]
[folio, [75.0, 86.0, 195.0, 18.0], cDja0kSHyU, 5694316]
[folio, [75.0, 104.0, 195.0, 18.0], cDja0kSHyU, 5694316]
[folio, [75.0, 122.0, 195.0, 18.0], cDja0kSHyU, 5694316]
[folio, [75.0, 140.0, 195.0, 18.0], cDja0kSHyU, 5694316]
[paragraph, [94.0, 196.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 214.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 232.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 250.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 268.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 286.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 304.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [94.0, 322.0, 326.0, 18.0], shoonya_1s6LG4M5VV4WL4, 5694316]
[paragraph, [430.0, 199.0, 331.0, 18.0], fWiQ0EubC_, 5694316]
[paragraph, [430.0, 217.0, 331.0, 18.0], fWiQ0EubC_, 5694316]
[paragraph, [430.0, 235.0, 331.0, 18.0], fWiQ0EubC_, 5694316]
[section-title, [808.0, 215.0, 235.0, 30.0], ETkUWTNecn, 5694316]
[author, [787.0, 265.0, 273.0, 18.0], rQFFwDEJK8, 5694316]
[author, [787.0, 283.0, 273.0, 18.0], rQFFwDEJK8, 5694316]
[paragraph, [429.0, 268.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 286.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 304.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 322.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 340.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 358.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 376.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 394.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 412.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 430.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 448.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 466.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 484.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 502.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [429.0, 520.0, 328.0, 18.0], bP8XyMr7Jo, 5694316]
[paragraph, [766.0, 312.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 330.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 348.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 366.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 384.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 402.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 420.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 438.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 456.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 474.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 492.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 510.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 528.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 546.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 564.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 582.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 600.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 618.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 636.0, 323.0, 18.0], IK2RserVnw, 5694316]
[paragraph, [766.0, 654.0, 323.0, 18.0], IK2RserVnw, 5694316]
