[792, 612]
[paragraph, [60.0, 53.0, 161.0, 18.0], shoonya_0sV4UHQZBKRWWT, 6515473]
[paragraph, [60.0, 71.0, 161.0, 18.0], shoonya_0sV4UHQZBKRWWT, 6515473]
[paragraph, [60.0, 89.0, 161.0, 18.0], shoonya_0sV4UHQZBKRWWT, 6515473]
[paragraph, [60.0, 107.0, 161.0, 18.0], shoonya_0sV4UHQZBKRWWT, 6515473]
[paragraph, [226.0, 53.0, 160.0, 18.0], 3ZhkX79W2c, 6515473]
[paragraph, [226.0, 71.0, 160.0, 18.0], 3ZhkX79W2c, 6515473]
[paragraph, [226.0, 89.0, 160.0, 18.0], 3ZhkX79W2c, 6515473]
[paragraph, [226.0, 107.0, 160.0, 18.0], 3ZhkX79W2c, 6515473]
[paragraph, [391.0, 70.0, 158.0, 18.0], O7i_ipGcTT, 6515473]
[paragraph, [391.0, 88.0, 158.0, 18.0], O7i_ipGcTT, 6515473]
[paragraph, [391.0, 112.0, 158.0, 18.0], ux8xZQLcHt, 6515473]
[paragraph, [391.0, 130.0, 158.0, 18.0], ux8xZQLcHt, 6515473]
[paragraph, [391.0, 148.0, 158.0, 18.0], ux8xZQLcHt, 6515473]
[paragraph, [391.0, 166.0, 158.0, 18.0], ux8xZQLcHt, 6515473]
[paragraph, [225.0, 140.0, 159.0, 18.0], YBRhBZEevl, 6515473]
[paragraph, [225.0, 158.0, 159.0, 18.0], YBRhBZEevl, 6515473]
[paragraph, [60.0, 141.0, 159.0, 18.0], zihN6mZRcN, 6515473]
[paragraph, [60.0, 159.0, 159.0, 18.0], zihN6mZRcN, 6515473]
[paragraph, [60.0, 177.0, 159.0, 18.0], zihN6mZRcN, 6515473]
[paragraph, [391.0, 196.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [391.0, 214.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [391.0, 232.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [391.0, 250.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [391.0, 268.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [391.0, 286.0, 158.0, 18.0], 2Nh5cK1TMp, 6515473]
[paragraph, [59.0, 197.0, 161.0, 18.0], mBystvIy8Q, 6515473]
[paragraph, [59.0, 215.0, 161.0, 18.0], mBystvIy8Q, 6515473]
[paragraph, [59.0, 233.0, 161.0, 18.0], mBystvIy8Q, 6515473]
[paragraph, [59.0, 251.0, 161.0, 18.0], mBystvIy8Q, 6515473]
[paragraph, [226.0, 211.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 229.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 247.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 265.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 283.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 301.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 319.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [226.0, 337.0, 159.0, 18.0], C4FJY3ietb, 6515473]
[paragraph, [60.0, 281.0, 158.0, 18.0], aSw47CVxji, 6515473]
[paragraph, [60.0, 299.0, 158.0, 18.0], aSw47CVxji, 6515473]
[paragraph, [60.0, 317.0, 158.0, 18.0], aSw47CVxji, 6515473]
[paragraph, [390.0, 323.0, 159.0, 18.0], XYLXDIOVpi, 6515473]
[paragraph, [390.0, 341.0, 159.0, 18.0], XYLXDIOVpi, 6515473]
[paragraph, [60.0, 352.0, 159.0, 18.0], mnFHlfqK3e, 6515473]
[paragraph, [60.0, 370.0, 159.0, 18.0], mnFHlfqK3e, 6515473]
[paragraph, [60.0, 388.0, 159.0, 18.0], mnFHlfqK3e, 6515473]
[paragraph, [60.0, 406.0, 159.0, 18.0], mnFHlfqK3e, 6515473]
