[834, 618]
[folio, [36.0, 40.0, 188.0, 18.0], ajfPGWPFgd, 5712692]
[headline, [40.0, 178.0, 525.0, 25.5], Gphe1ZUXTp, 5712692]
[paragraph, [49.0, 214.0, 515.0, 18.0], shoonya_8s2AUYBUJCR017, 5712692]
[paragraph, [49.0, 232.0, 515.0, 18.0], shoonya_8s2AUYBUJCR017, 5712692]
[paragraph, [49.0, 250.0, 515.0, 18.0], shoonya_8s2AUYBUJCR017, 5712692]
[paragraph, [49.0, 268.0, 515.0, 18.0], shoonya_8s2AUYBUJCR017, 5712692]
[section-title, [89.0, 299.0, 165.0, 30.0], shoonya_7sD11T27S3AY7T, 5712692]
[section-title, [335.0, 300.0, 206.0, 30.0], 2M43PEWwkc, 5712692]
[paragraph, [52.0, 455.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 473.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 491.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 509.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 527.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 545.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 563.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 581.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 599.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 617.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 635.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 653.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 671.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 689.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 707.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [52.0, 725.0, 237.0, 18.0], shoonya_0sFS3EK6WO1WHR, 5712692]
[paragraph, [308.0, 461.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 479.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 497.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 515.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 533.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 551.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 569.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 587.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 605.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 623.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 641.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 659.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 677.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 695.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 713.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 731.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[paragraph, [308.0, 749.0, 264.0, 18.0], shoonya_6sDIWT5G8DMSTY, 5712692]
[folio, [73.0, 773.0, 120.0, 18.0], WQzNq_O4i5, 5712692]
