[792, 612]
[headline, [197.0, 207.0, 218.0, 25.5], tmaUP3wslM, 6515892]
[headline, [197.0, 232.5, 218.0, 25.5], tmaUP3wslM, 6515892]
[headline, [197.0, 258.0, 218.0, 25.5], tmaUP3wslM, 6515892]
[headline, [197.0, 283.5, 218.0, 25.5], tmaUP3wslM, 6515892]
[author, [55.0, 334.0, 162.0, 18.0], PdgcUfoUbR, 6515892]
[paragraph, [223.0, 335.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 353.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 371.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 389.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 407.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 425.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 443.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 461.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [223.0, 479.0, 164.0, 18.0], nIJLhFTAt5, 6515892]
[paragraph, [391.0, 335.0, 163.0, 18.0], ba9O8j3YI1, 6515892]
[paragraph, [391.0, 353.0, 163.0, 18.0], ba9O8j3YI1, 6515892]
[paragraph, [54.0, 358.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [54.0, 376.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [54.0, 394.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [54.0, 412.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [54.0, 430.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [54.0, 448.0, 164.0, 18.0], bQn8R4POWT, 6515892]
[paragraph, [391.0, 388.0, 163.0, 18.0], xJ7gqERZJn, 6515892]
[paragraph, [391.0, 406.0, 163.0, 18.0], xJ7gqERZJn, 6515892]
[paragraph, [393.0, 434.0, 161.0, 18.0], n05LuoAOU3, 6515892]
[paragraph, [393.0, 452.0, 161.0, 18.0], n05LuoAOU3, 6515892]
[paragraph, [393.0, 470.0, 161.0, 18.0], n05LuoAOU3, 6515892]
[paragraph, [55.0, 483.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 501.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 519.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 537.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 555.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 573.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [55.0, 591.0, 163.0, 18.0], g0TVSp94PQ, 6515892]
[paragraph, [390.0, 508.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[paragraph, [390.0, 526.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[paragraph, [390.0, 544.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[paragraph, [390.0, 562.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[paragraph, [390.0, 580.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[paragraph, [390.0, 598.0, 164.0, 18.0], xBpgVtgDSu, 6515892]
[sidebar, [226.0, 515.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 533.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 551.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 569.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 587.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 605.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[sidebar, [226.0, 623.0, 161.0, 18.0], c2Iun1WdG6, 6515892]
[paragraph, [56.0, 615.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 633.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 651.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 669.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 687.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 705.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [56.0, 723.0, 162.0, 18.0], ggxw6a9d9j, 6515892]
[paragraph, [391.0, 627.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [391.0, 645.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [391.0, 663.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [391.0, 681.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [391.0, 699.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [391.0, 717.0, 165.0, 18.0], amBtOVvyHx, 6515892]
[paragraph, [223.0, 649.0, 165.0, 18.0], _C322-ayaA, 6515892]
[paragraph, [223.0, 667.0, 165.0, 18.0], _C322-ayaA, 6515892]
[paragraph, [223.0, 685.0, 165.0, 18.0], _C322-ayaA, 6515892]
[paragraph, [223.0, 703.0, 165.0, 18.0], _C322-ayaA, 6515892]
[paragraph, [223.0, 721.0, 165.0, 18.0], _C322-ayaA, 6515892]
