[2020, 1545]
[folio, [96.0, 73.0, 192.0, 36.0], m6KySiZd-R, 5713013]
[paragraph, [772.0, 122.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 158.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 194.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 230.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 266.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 302.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 338.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 374.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 410.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 446.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 482.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 518.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 554.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 590.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [772.0, 626.0, 716.0, 36.0], shoonya_12s7XQSNCGO5GX, 5713013]
[paragraph, [54.0, 129.0, 713.0, 36.0], shoonya_0s8GR026M01Q7V, 5713013]
[paragraph, [54.0, 165.0, 713.0, 36.0], shoonya_0s8GR026M01Q7V, 5713013]
[paragraph, [54.0, 201.0, 713.0, 36.0], shoonya_0s8GR026M01Q7V, 5713013]
[paragraph, [54.0, 237.0, 713.0, 36.0], shoonya_0s8GR026M01Q7V, 5713013]
[paragraph, [54.0, 306.0, 713.0, 36.0], shoonya_1sAX6FMQGO7YZY, 5713013]
[paragraph, [54.0, 342.0, 713.0, 36.0], shoonya_1sAX6FMQGO7YZY, 5713013]
[paragraph, [54.0, 378.0, 713.0, 36.0], shoonya_1sAX6FMQGO7YZY, 5713013]
[paragraph, [54.0, 414.0, 713.0, 36.0], shoonya_1sAX6FMQGO7YZY, 5713013]
[paragraph, [54.0, 450.0, 713.0, 36.0], shoonya_1sAX6FMQGO7YZY, 5713013]
[paragraph, [51.0, 525.0, 718.0, 36.0], shoonya_2sNKPW9BEJHND7, 5713013]
[paragraph, [51.0, 561.0, 718.0, 36.0], shoonya_2sNKPW9BEJHND7, 5713013]
[paragraph, [51.0, 597.0, 718.0, 36.0], shoonya_2sNKPW9BEJHND7, 5713013]
