[1650, 1275]
[paragraph, [127.0, 133.0, 1027.0, 36.0], shoonya_2sP9X456AQL4EK, 5779009]
[paragraph, [127.0, 169.0, 1027.0, 36.0], shoonya_2sP9X456AQL4EK, 5779009]
[paragraph, [127.0, 205.0, 1027.0, 36.0], shoonya_2sP9X456AQL4EK, 5779009]
[paragraph, [127.0, 241.0, 1027.0, 36.0], shoonya_2sP9X456AQL4EK, 5779009]
[paragraph, [132.0, 305.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 341.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 377.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 413.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 449.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 485.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 521.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 557.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 593.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 629.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 665.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 701.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 737.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 773.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 809.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 845.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 881.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 917.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 953.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [132.0, 989.0, 1016.0, 36.0], shoonya_1s5CXSJAG6BLZK, 5779009]
[paragraph, [127.0, 1054.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1090.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1126.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1162.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1198.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1234.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1270.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1306.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1342.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1378.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
[paragraph, [127.0, 1414.0, 1020.0, 36.0], shoonya_0sHXZ65R5YQKX8, 5779009]
