[975, 571]
[paragraph, [22.0, 51.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 69.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 87.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 105.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 123.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 141.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 159.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 177.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 195.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 213.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 231.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 249.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 267.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 285.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 303.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [22.0, 321.0, 523.0, 18.0], shoonya_1sKR1TMPREVRRV, 5775905]
[paragraph, [25.0, 345.0, 519.0, 18.0], shoonya_2sXOQM069EP54D, 5775905]
[paragraph, [25.0, 363.0, 519.0, 18.0], shoonya_2sXOQM069EP54D, 5775905]
[paragraph, [25.0, 381.0, 519.0, 18.0], shoonya_2sXOQM069EP54D, 5775905]
[paragraph, [25.0, 403.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 421.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 439.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 457.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 475.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 493.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 511.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 529.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 547.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 565.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
[paragraph, [25.0, 583.0, 518.0, 18.0], shoonya_0sWCVPV4NFT5BI, 5775905]
