[842, 596]
[ordered-list, [115.0, 50.0, 298.0, 18.0], Dd7j01pY4o, 5658441]
[ordered-list, [79.0, 86.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 104.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 122.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 140.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 158.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 176.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 194.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 212.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 230.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 248.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 266.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[ordered-list, [79.0, 284.0, 482.0, 18.0], FfLLKXqXqg, 5658441]
[sub-ordered-list, [112.0, 111.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 129.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 147.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 165.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 183.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 201.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 219.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 237.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 255.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 273.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[sub-ordered-list, [112.0, 291.0, 426.0, 18.0], pi9FVzjJ0a, 5658441]
[paragraph, [64.0, 367.0, 462.0, 18.0], yFww9WjL2V, 5658441]
[paragraph, [64.0, 385.0, 462.0, 18.0], yFww9WjL2V, 5658441]
[website-link, [183.0, 376.0, 108.0, 18.0], NqdMmYvpkE, 5658441]
[unordered-list, [80.0, 429.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 447.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 465.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 483.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 501.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 519.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 537.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 555.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 573.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 591.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 609.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 627.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 645.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 663.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 681.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 699.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[unordered-list, [80.0, 717.0, 452.0, 18.0], shoonya_0sK8YR6XVB9HKE, 5658441]
[footnote, [73.0, 777.0, 486.0, 18.0], TVhjmLLm0N, 5658441]
