[1823, 1375]
[folio, [577.0, 109.0, 202.0, 36.0], shoonya_4sW9FGTXRHBOOW, 5683768]
[paragraph, [106.0, 172.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 208.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 244.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 280.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 316.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 352.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 388.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 424.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 460.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 496.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 532.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 568.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 604.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 640.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 676.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 712.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 748.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 784.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 820.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 856.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 892.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 928.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 964.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1000.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1036.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1072.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1108.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1144.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1180.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1216.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1252.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1288.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1324.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1360.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [106.0, 1396.0, 577.0, 36.0], shoonya_0sIHO5WR2UQVAG, 5683768]
[paragraph, [696.0, 176.0, 573.0, 36.0], shoonya_3sS1Z9PQ1Y41HI, 5683768]
[paragraph, [696.0, 212.0, 573.0, 36.0], shoonya_3sS1Z9PQ1Y41HI, 5683768]
[paragraph, [696.0, 248.0, 573.0, 36.0], shoonya_3sS1Z9PQ1Y41HI, 5683768]
[paragraph, [695.0, 308.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 344.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 380.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 416.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 452.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 488.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
[paragraph, [695.0, 524.0, 580.0, 36.0], mAigbwLCvJ, 5683768]
