[1725, 1313]
[paragraph, [789.0, 143.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [789.0, 179.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [789.0, 215.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [789.0, 251.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [789.0, 287.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [789.0, 323.0, 403.0, 36.0], shoonya_14s1A8RY2IEJBD, 5771659]
[paragraph, [120.0, 380.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 416.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 452.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 488.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 524.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 560.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 596.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [120.0, 632.0, 528.0, 36.0], shoonya_2s4MUPTEHQ7WWD, 5771659]
[paragraph, [661.0, 479.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 515.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 551.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 587.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 623.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 659.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 695.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 731.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 767.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 803.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [661.0, 839.0, 528.0, 36.0], shoonya_1sIPTO60ZA5KEY, 5771659]
[paragraph, [115.0, 731.0, 545.0, 36.0], shoonya_12sK07A3QGZ7Z7, 5771659]
[paragraph, [115.0, 767.0, 545.0, 36.0], shoonya_12sK07A3QGZ7Z7, 5771659]
[paragraph, [115.0, 803.0, 545.0, 36.0], shoonya_12sK07A3QGZ7Z7, 5771659]
[paragraph, [115.0, 839.0, 545.0, 36.0], shoonya_12sK07A3QGZ7Z7, 5771659]
[paragraph, [106.0, 903.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 939.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 975.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1011.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1047.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1083.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1119.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1155.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1191.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1227.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1263.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[paragraph, [106.0, 1299.0, 492.0, 36.0], shoonya_3sN0A7JXSJ9UT3, 5771659]
[sidebar, [125.0, 1354.0, 1051.0, 36.0], rT2evMeMOK, 5771659]
[sidebar, [125.0, 1390.0, 1051.0, 36.0], rT2evMeMOK, 5771659]
[sidebar, [125.0, 1426.0, 1051.0, 36.0], rT2evMeMOK, 5771659]
[sidebar, [125.0, 1462.0, 1051.0, 36.0], rT2evMeMOK, 5771659]
[sidebar, [125.0, 1498.0, 1051.0, 36.0], rT2evMeMOK, 5771659]
[folio, [534.0, 1570.0, 217.0, 36.0], oPqa0buraU, 5771659]
[folio, [76.0, 1677.0, 316.0, 36.0], shoonya_7s2ORT65N0GTBS, 5771659]
