[1654, 1241]
[paragraph, [114.0, 107.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 143.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 179.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 215.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 251.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 287.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 323.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 359.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[paragraph, [114.0, 395.0, 1015.0, 36.0], shoonya_0sMRQZSQMFZRZJ, 5730399]
[ordered-list, [93.0, 450.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 486.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 522.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 558.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 594.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 630.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 666.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 702.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 738.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 774.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 810.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 846.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 882.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 918.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 954.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 990.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1026.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1062.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1098.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1134.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1170.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1206.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
[ordered-list, [93.0, 1242.0, 1040.0, 36.0], shoonya_4sSBM6A2VY2X19, 5730399]
