[3442, 2665]
[paragraph, [160.0, 144.0, 2247.0, 52.5], shoonya_3sEV5UGKWJGPWB, 6473761]
[paragraph, [160.0, 196.5, 2247.0, 52.5], shoonya_3sEV5UGKWJGPWB, 6473761]
[paragraph, [160.0, 249.0, 2247.0, 52.5], shoonya_3sEV5UGKWJGPWB, 6473761]
[paragraph, [160.0, 301.5, 2247.0, 52.5], shoonya_3sEV5UGKWJGPWB, 6473761]
[paragraph, [162.0, 440.0, 2210.0, 52.5], shoonya_0s7OT0OYSS4TFD, 6473761]
[paragraph, [162.0, 492.5, 2210.0, 52.5], shoonya_0s7OT0OYSS4TFD, 6473761]
[paragraph, [162.0, 545.0, 2210.0, 52.5], shoonya_0s7OT0OYSS4TFD, 6473761]
[paragraph, [162.0, 597.5, 2210.0, 52.5], shoonya_0s7OT0OYSS4TFD, 6473761]
[paragraph, [164.0, 739.0, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [164.0, 791.5, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [164.0, 844.0, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [164.0, 896.5, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [164.0, 949.0, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [164.0, 1001.5, 2273.0, 52.5], shoonya_1s5SXE45FLBXYM, 6473761]
[paragraph, [157.0, 1146.0, 2006.0, 52.5], shoonya_2s0DLV83VXS1GX, 6473761]
[paragraph, [157.0, 1198.5, 2006.0, 52.5], shoonya_2s0DLV83VXS1GX, 6473761]
[paragraph, [157.0, 1251.0, 2006.0, 52.5], shoonya_2s0DLV83VXS1GX, 6473761]
[paragraph, [157.0, 1303.5, 2006.0, 52.5], shoonya_2s0DLV83VXS1GX, 6473761]
[paragraph, [163.0, 1448.0, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1500.5, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1553.0, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1605.5, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1658.0, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1710.5, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [163.0, 1763.0, 2322.0, 52.5], V58bKtG_7w, 6473761]
[paragraph, [154.0, 1950.0, 2249.0, 52.5], 3Vb5FOeJQZ, 6473761]
[paragraph, [154.0, 2002.5, 2249.0, 52.5], 3Vb5FOeJQZ, 6473761]
[paragraph, [154.0, 2055.0, 2249.0, 52.5], 3Vb5FOeJQZ, 6473761]
[paragraph, [154.0, 2107.5, 2249.0, 52.5], 3Vb5FOeJQZ, 6473761]
[paragraph, [154.0, 2160.0, 2249.0, 52.5], 3Vb5FOeJQZ, 6473761]
[paragraph, [134.0, 2346.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2398.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2451.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2503.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2556.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2608.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2661.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2713.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2766.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2818.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2871.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2923.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 2976.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 3028.5, 2348.0, 52.5], DFrpMcAl2c, 6473761]
[paragraph, [134.0, 3081.0, 2348.0, 52.5], DFrpMcAl2c, 6473761]
