[1229, 750]
[folio, [383.0, 28.0, 273.0, 18.0], shoonya_0sB8PKF3RHY9M5, 6470036]
[paragraph, [70.0, 87.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 105.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 123.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 141.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 159.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 177.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 195.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 213.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 231.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 249.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 267.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 285.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 303.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 321.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 339.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 357.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 375.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 393.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [70.0, 411.0, 599.0, 18.0], yw8te7Agg1, 6470036]
[paragraph, [74.0, 442.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 460.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 478.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 496.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 514.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 532.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 550.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 568.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 586.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 604.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 622.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 640.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 658.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 676.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 694.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 712.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 730.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 748.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 766.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 784.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 802.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 820.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 838.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 856.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 874.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 892.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 910.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 928.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 946.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 964.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 982.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 1000.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 1018.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 1036.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
[paragraph, [74.0, 1054.0, 597.0, 18.0], tO-fi6dNp_, 6470036]
