[594, 841]
[folio, [254.0, 63.0, 57.0, 18.0], KaCYk4beBN, 6532925]
[paragraph, [479.0, 98.0, 285.0, 18.0], shoonya_0sBH6F3MFVP2PU, 6532925]
[paragraph, [479.0, 116.0, 285.0, 18.0], shoonya_0sBH6F3MFVP2PU, 6532925]
[paragraph, [479.0, 134.0, 285.0, 18.0], shoonya_0sBH6F3MFVP2PU, 6532925]
[paragraph, [479.0, 152.0, 285.0, 18.0], shoonya_0sBH6F3MFVP2PU, 6532925]
[paragraph, [162.0, 122.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [162.0, 140.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [162.0, 158.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [162.0, 176.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [162.0, 194.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [162.0, 212.0, 216.0, 18.0], rSspdNid0D, 6532925]
[paragraph, [477.0, 176.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 194.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 212.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 230.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 248.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 266.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 284.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 302.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [477.0, 320.0, 285.0, 18.0], yysCfSCNZ_, 6532925]
[paragraph, [169.0, 266.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [169.0, 284.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [169.0, 302.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [169.0, 320.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [169.0, 338.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [169.0, 356.0, 224.0, 18.0], QczTHjNk41, 6532925]
[paragraph, [478.0, 343.0, 285.0, 18.0], V9fR5IhfPw, 6532925]
[paragraph, [478.0, 361.0, 285.0, 18.0], V9fR5IhfPw, 6532925]
[paragraph, [477.0, 390.0, 288.0, 18.0], uG3G2Vich8, 6532925]
[paragraph, [477.0, 408.0, 288.0, 18.0], uG3G2Vich8, 6532925]
[paragraph, [477.0, 426.0, 288.0, 18.0], uG3G2Vich8, 6532925]
[paragraph, [477.0, 444.0, 288.0, 18.0], uG3G2Vich8, 6532925]
[paragraph, [175.0, 419.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
[paragraph, [175.0, 437.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
[paragraph, [175.0, 455.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
[paragraph, [175.0, 473.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
[paragraph, [175.0, 491.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
[paragraph, [175.0, 509.0, 205.0, 18.0], 53_xRfhjVd, 6532925]
