[3300, 2550]
[paragraph, [242.0, 268.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 320.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 373.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 425.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 478.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 530.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 583.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 635.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 688.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 740.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 793.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 845.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 898.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 950.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 1003.0, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [242.0, 1055.5, 2068.0, 52.5], S-bqh1xueJ, 5720054]
[paragraph, [258.0, 1174.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1226.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1279.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1331.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1384.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1436.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1489.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1541.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1594.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1646.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1699.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1751.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1804.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1856.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1909.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 1961.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 2014.0, 2036.0, 52.5], NoPf9PbQNL, 5720054]
[paragraph, [258.0, 2066.5, 2036.0, 52.5], NoPf9PbQNL, 5720054]
