[2339, 1656]
[paragraph, [187.0, 195.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 231.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 267.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 303.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 339.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 375.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 411.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 447.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [187.0, 483.0, 1276.0, 36.0], shoonya_3sQYO40SSIQWST, 5752677]
[paragraph, [164.0, 585.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 621.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 657.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 693.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 729.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 765.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 801.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 837.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 873.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 909.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 945.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 981.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1017.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1053.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1089.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1125.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1161.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1197.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1233.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1269.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1305.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1341.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1377.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1413.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1449.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1485.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1521.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1557.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1593.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1629.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1665.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1701.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1737.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1773.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1809.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1845.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1881.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[paragraph, [164.0, 1917.0, 1311.0, 36.0], shoonya_0sJWT4I79BSXIT, 5752677]
[folio, [271.0, 2231.0, 433.0, 36.0], at1FzXDXwD, 5752677]
[folio, [271.0, 2267.0, 433.0, 36.0], at1FzXDXwD, 5752677]
