[2339, 1654]
[paragraph, [463.0, 204.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 240.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 276.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 312.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 348.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 384.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 420.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 456.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 492.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 528.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 564.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 600.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 636.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 672.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 708.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 744.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 780.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 816.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 852.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 888.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 924.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 960.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 996.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1032.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1068.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1104.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1140.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1176.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1212.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1248.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1284.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1320.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1356.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1392.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1428.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1464.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1500.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1536.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1572.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1608.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1644.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1680.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1716.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1752.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1788.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1824.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
[paragraph, [463.0, 1860.0, 361.0, 36.0], dZnzy2pdYU, 5686678]
