[1868, 1213]
[headline, [123.0, 140.0, 422.0, 37.5], vD4ziiDVTz, 5692263]
[headline, [123.0, 177.5, 422.0, 37.5], vD4ziiDVTz, 5692263]
[author, [689.0, 157.0, 391.0, 36.0], 0fucSxOH4p, 5692263]
[paragraph, [217.0, 243.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 279.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 315.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 351.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 387.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 423.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 459.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 495.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 531.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 567.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 603.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 639.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 675.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 711.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 747.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 783.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 819.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 855.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 891.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 927.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 963.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 999.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1035.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1071.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1107.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1143.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1179.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1215.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1251.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1287.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
[paragraph, [217.0, 1323.0, 808.0, 36.0], shoonya_1sNMLV0RFRZXJH, 5692263]
