[872, 605]
[folio, [32.0, 37.0, 95.0, 18.0], HAfX7yl0FI, 6457529]
[folio, [32.0, 55.0, 95.0, 18.0], HAfX7yl0FI, 6457529]
[paragraph, [40.0, 78.0, 253.0, 18.0], x2jhcrZPeW, 6457529]
[paragraph, [40.0, 96.0, 253.0, 18.0], x2jhcrZPeW, 6457529]
[paragraph, [300.0, 80.0, 261.0, 18.0], UT35p0Apcl, 6457529]
[paragraph, [300.0, 98.0, 261.0, 18.0], UT35p0Apcl, 6457529]
[paragraph, [42.0, 111.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 129.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 147.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 165.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 183.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 201.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 219.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 237.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 255.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [42.0, 273.0, 256.0, 18.0], wXNR55Hr6h, 6457529]
[paragraph, [301.0, 112.0, 257.0, 18.0], mMtL7vcNlb, 6457529]
[paragraph, [301.0, 130.0, 257.0, 18.0], mMtL7vcNlb, 6457529]
[paragraph, [301.0, 148.0, 257.0, 18.0], mMtL7vcNlb, 6457529]
[paragraph, [296.0, 166.0, 267.0, 18.0], E_rp6o-4i2, 6457529]
[paragraph, [302.0, 182.0, 211.0, 18.0], MzajDpDyuN, 6457529]
[paragraph, [302.0, 200.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 218.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 236.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 254.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 272.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 290.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 308.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 326.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [302.0, 344.0, 259.0, 18.0], RWX12GIOs2, 6457529]
[paragraph, [41.0, 296.0, 259.0, 18.0], gmgkg1rn-s, 6457529]
[paragraph, [41.0, 314.0, 259.0, 18.0], gmgkg1rn-s, 6457529]
[paragraph, [41.0, 332.0, 259.0, 18.0], gmgkg1rn-s, 6457529]
[paragraph, [41.0, 350.0, 259.0, 18.0], gmgkg1rn-s, 6457529]
[paragraph, [41.0, 365.0, 260.0, 18.0], shoonya_0sCOPQKEU4EQ69, 6457529]
[paragraph, [41.0, 383.0, 260.0, 18.0], shoonya_0sCOPQKEU4EQ69, 6457529]
[paragraph, [304.0, 370.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 388.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 406.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 424.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 442.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 460.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 478.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 496.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [304.0, 514.0, 258.0, 18.0], 5IZ81gyrJn, 6457529]
[paragraph, [37.0, 400.0, 255.0, 18.0], dUa1iF3sln, 6457529]
[paragraph, [41.0, 417.0, 228.0, 18.0], P933I9gaw_, 6457529]
[paragraph, [42.0, 435.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 453.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 471.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 489.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 507.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 525.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 543.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 561.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 579.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 597.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 615.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [42.0, 633.0, 261.0, 18.0], exJMAWe6Uo, 6457529]
[paragraph, [316.0, 542.0, 246.0, 18.0], -58wFUrHPR, 6457529]
[paragraph, [302.0, 561.0, 259.0, 18.0], 1JUD4y9QkD, 6457529]
[paragraph, [303.0, 577.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 595.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 613.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 631.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 649.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 667.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 685.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 703.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 721.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 739.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [303.0, 757.0, 256.0, 18.0], kS2TtZ048E, 6457529]
[paragraph, [39.0, 651.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[paragraph, [39.0, 669.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[paragraph, [39.0, 687.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[paragraph, [39.0, 705.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[paragraph, [39.0, 723.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[paragraph, [39.0, 741.0, 265.0, 18.0], aH09TNb9dX, 6457529]
[reference, [34.0, 758.0, 269.0, 18.0], 3qAxTn-HKS, 6457529]
[reference, [34.0, 776.0, 269.0, 18.0], 3qAxTn-HKS, 6457529]
[reference, [34.0, 794.0, 269.0, 18.0], 3qAxTn-HKS, 6457529]
[reference, [34.0, 812.0, 269.0, 18.0], 3qAxTn-HKS, 6457529]
[reference, [304.0, 785.0, 260.0, 18.0], -W88SfjQgt, 6457529]
[reference, [304.0, 803.0, 260.0, 18.0], -W88SfjQgt, 6457529]
