[1004, 621]
[section-title, [207.0, 234.0, 214.0, 30.0], shoonya_0s4ZW0KUGW04RW, 5740904]
[paragraph, [30.0, 288.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 306.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 324.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 342.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 360.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 378.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 396.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 414.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 432.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 450.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 468.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 486.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 504.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 522.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 540.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 558.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 576.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 594.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 612.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 630.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 648.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 666.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 684.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 702.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 720.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 738.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 756.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 774.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 792.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 810.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 828.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 846.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 864.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 882.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 900.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 918.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
[paragraph, [30.0, 936.0, 556.0, 18.0], bXOKyhxK7f, 5740904]
