[792, 612]
[sidebar, [437.0, 19.0, 63.0, 18.0], POCsfyOPeH, 5738734]
[options, [97.0, 54.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 72.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 90.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 108.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 126.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 144.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 162.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 180.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 198.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 216.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 234.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[options, [97.0, 252.0, 89.0, 18.0], vM5ArTH2EA, 5738734]
[folio, [62.0, 662.0, 156.0, 18.0], 4En8cLtjZN, 5738734]
