[2314, 1761]
[paragraph, [404.0, 199.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 235.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 271.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 307.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 343.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 379.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 415.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 451.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 487.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 523.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 559.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 595.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 631.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [404.0, 667.0, 1189.0, 36.0], shoonya_1sLMW2ZPXP7CYS, 5734353]
[paragraph, [402.0, 773.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 809.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 845.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 881.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 917.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 953.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 989.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[paragraph, [402.0, 1025.0, 1189.0, 36.0], shoonya_3sR5JZ2OSDNRMC, 5734353]
[section-title, [406.0, 1103.0, 244.0, 52.5], shoonya_4sLYYN2HCTAF0K, 5734353]
[paragraph, [396.0, 1206.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1242.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1278.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1314.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1350.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1386.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1422.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1458.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1494.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1530.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [396.0, 1566.0, 1188.0, 36.0], shoonya_0sETV72ME95F6T, 5734353]
[paragraph, [394.0, 1665.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1701.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1737.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1773.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1809.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1845.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
[paragraph, [394.0, 1881.0, 1196.0, 36.0], shoonya_2sU800WXQ1W45U, 5734353]
