[1326, 829]
[folio, [350.0, 72.0, 146.0, 18.0], CPEquejHPO, 5770620]
[folio, [350.0, 90.0, 146.0, 18.0], CPEquejHPO, 5770620]
[paragraph, [418.0, 131.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 149.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 167.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 185.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 203.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 221.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 239.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 257.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 275.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 293.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 311.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 329.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 347.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 365.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 383.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 401.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [418.0, 419.0, 340.0, 18.0], wzfEtWbrOC, 5770620]
[paragraph, [76.0, 134.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 152.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 170.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 188.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 206.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 224.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 242.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 260.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 278.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 296.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 314.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 332.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 350.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 368.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 386.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 404.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 422.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 440.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 458.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 476.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 494.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 512.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 530.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 548.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 566.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [76.0, 584.0, 333.0, 18.0], vN18QLFyjV, 5770620]
[paragraph, [416.0, 452.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 470.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 488.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 506.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 524.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 542.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 560.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 578.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 596.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 614.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 632.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 650.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 668.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 686.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 704.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 722.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 740.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 758.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 776.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 794.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 812.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 830.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 848.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 866.0, 345.0, 18.0], R6ngkno0sa, 5770620]
[paragraph, [416.0, 884.0, 345.0, 18.0], R6ngkno0sa, 5770620]
