[690, 512]
[folio, [206.0, 39.0, 90.0, 18.0], pUr_qnSZk4, 6492044]
[paragraph, [259.0, 62.0, 211.0, 18.0], GCWd24Uj7c, 6492044]
[paragraph, [259.0, 80.0, 211.0, 18.0], GCWd24Uj7c, 6492044]
[paragraph, [259.0, 98.0, 211.0, 18.0], GCWd24Uj7c, 6492044]
[paragraph, [259.0, 116.0, 211.0, 18.0], GCWd24Uj7c, 6492044]
[paragraph, [31.0, 63.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 81.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 99.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 117.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 135.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 153.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 171.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [31.0, 189.0, 210.0, 18.0], rnOyQSp78X, 6492044]
[paragraph, [255.0, 144.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 162.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 180.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 198.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 216.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 234.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 252.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 270.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [255.0, 288.0, 217.0, 18.0], 5ieKE0roXw, 6492044]
[paragraph, [30.0, 213.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [30.0, 231.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [30.0, 249.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [30.0, 267.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [30.0, 285.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [30.0, 303.0, 214.0, 18.0], MLprJyh67e, 6492044]
[paragraph, [258.0, 312.0, 210.0, 18.0], nGPeDQUIGq, 6492044]
[paragraph, [258.0, 330.0, 210.0, 18.0], nGPeDQUIGq, 6492044]
[paragraph, [258.0, 348.0, 210.0, 18.0], nGPeDQUIGq, 6492044]
[paragraph, [258.0, 366.0, 210.0, 18.0], nGPeDQUIGq, 6492044]
[paragraph, [31.0, 328.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 346.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 364.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 382.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 400.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 418.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 436.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 454.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 472.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 490.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 508.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [31.0, 526.0, 212.0, 18.0], k59y2A-lAD, 6492044]
[paragraph, [257.0, 397.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 415.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 433.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 451.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 469.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 487.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 505.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [257.0, 523.0, 211.0, 18.0], nutRqSEOZA, 6492044]
[paragraph, [254.0, 548.0, 214.0, 18.0], BoqIdGRgm6, 6492044]
[paragraph, [254.0, 566.0, 214.0, 18.0], BoqIdGRgm6, 6492044]
[paragraph, [254.0, 584.0, 214.0, 18.0], BoqIdGRgm6, 6492044]
[paragraph, [254.0, 602.0, 214.0, 18.0], BoqIdGRgm6, 6492044]
[paragraph, [29.0, 563.0, 210.0, 18.0], zUPqQdplTy, 6492044]
[paragraph, [29.0, 581.0, 210.0, 18.0], zUPqQdplTy, 6492044]
[paragraph, [29.0, 599.0, 210.0, 18.0], zUPqQdplTy, 6492044]
