[595, 454]
[paragraph, [43.0, 19.0, 96.0, 18.0], shoonya_11sZLUO53J4S98, 6459525]
[paragraph, [43.0, 40.0, 193.0, 18.0], GiaMyIV5O-, 6459525]
[paragraph, [43.0, 58.0, 193.0, 18.0], GiaMyIV5O-, 6459525]
[paragraph, [43.0, 76.0, 193.0, 18.0], GiaMyIV5O-, 6459525]
[paragraph, [43.0, 94.0, 193.0, 18.0], GiaMyIV5O-, 6459525]
[paragraph, [43.0, 112.0, 193.0, 18.0], GiaMyIV5O-, 6459525]
[paragraph, [38.0, 134.0, 197.0, 18.0], KHELwA0xZp, 6459525]
[paragraph, [38.0, 152.0, 197.0, 18.0], KHELwA0xZp, 6459525]
[paragraph, [38.0, 170.0, 197.0, 18.0], KHELwA0xZp, 6459525]
[paragraph, [38.0, 188.0, 197.0, 18.0], KHELwA0xZp, 6459525]
[paragraph, [38.0, 206.0, 197.0, 18.0], KHELwA0xZp, 6459525]
[paragraph, [38.0, 232.0, 197.0, 18.0], zCpfcuK8qz, 6459525]
[paragraph, [38.0, 250.0, 197.0, 18.0], zCpfcuK8qz, 6459525]
[paragraph, [38.0, 268.0, 197.0, 18.0], zCpfcuK8qz, 6459525]
[paragraph, [38.0, 286.0, 197.0, 18.0], zCpfcuK8qz, 6459525]
[paragraph, [236.0, 270.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [236.0, 288.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [236.0, 306.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [236.0, 324.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [236.0, 342.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [236.0, 360.0, 198.0, 18.0], shoonya_13s352S9WP3K4U, 6459525]
[paragraph, [38.0, 310.0, 199.0, 18.0], shoonya_14sU0I6DMOTPRL, 6459525]
[paragraph, [38.0, 328.0, 199.0, 18.0], shoonya_14sU0I6DMOTPRL, 6459525]
[paragraph, [38.0, 346.0, 199.0, 18.0], shoonya_14sU0I6DMOTPRL, 6459525]
[paragraph, [38.0, 364.0, 199.0, 18.0], shoonya_14sU0I6DMOTPRL, 6459525]
[paragraph, [36.0, 382.0, 198.0, 18.0], EJJHDZXfkB, 6459525]
[paragraph, [36.0, 400.0, 198.0, 18.0], EJJHDZXfkB, 6459525]
[paragraph, [238.0, 386.0, 193.0, 18.0], o53CzEpZBO, 6459525]
[paragraph, [238.0, 404.0, 193.0, 18.0], o53CzEpZBO, 6459525]
[paragraph, [238.0, 422.0, 193.0, 18.0], o53CzEpZBO, 6459525]
[paragraph, [238.0, 440.0, 193.0, 18.0], o53CzEpZBO, 6459525]
[paragraph, [238.0, 458.0, 193.0, 18.0], o53CzEpZBO, 6459525]
[paragraph, [35.0, 423.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [35.0, 441.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [35.0, 459.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [35.0, 477.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [35.0, 495.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [35.0, 513.0, 197.0, 18.0], F8mCs3ioPB, 6459525]
[paragraph, [239.0, 482.0, 192.0, 18.0], kEHuPXIUiV, 6459525]
[paragraph, [239.0, 500.0, 192.0, 18.0], kEHuPXIUiV, 6459525]
[paragraph, [239.0, 518.0, 192.0, 18.0], kEHuPXIUiV, 6459525]
[folio, [35.0, 542.0, 98.0, 18.0], shoonya_12sDKNJ7B6MOU8, 6459525]
