[1625, 1211]
[paragraph, [783.0, 81.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 117.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 153.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 189.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 225.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 261.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 297.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 333.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 369.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 405.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 441.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 477.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 513.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 549.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [783.0, 585.0, 350.0, 36.0], Ee_juqHXBT, 5742246]
[paragraph, [426.0, 87.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 123.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 159.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 195.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 231.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 267.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 303.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 339.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 375.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 411.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 447.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 483.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 519.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 555.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 591.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 627.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 663.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 699.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 735.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 771.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 807.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 843.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 879.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 915.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 951.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[paragraph, [426.0, 987.0, 344.0, 36.0], tYFQWg-ini, 5742246]
[headline, [75.0, 190.0, 334.0, 37.5], JhhAgrD5ff, 5742246]
[author, [134.0, 252.0, 213.0, 36.0], oBqkCN2C5o, 5742246]
[paragraph, [190.0, 323.0, 217.0, 36.0], nHsR2byrLH, 5742246]
[paragraph, [190.0, 359.0, 217.0, 36.0], nHsR2byrLH, 5742246]
[paragraph, [71.0, 434.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 470.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 506.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 542.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 578.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 614.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 650.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 686.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 722.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 758.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 794.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
[paragraph, [71.0, 830.0, 346.0, 36.0], shoonya_0sEKUXP4XRPFS3, 5742246]
