[3509, 2482]
[section-title, [977.0, 425.0, 229.0, 93.0], oIaONs7faW, 5692104]
[paragraph, [291.0, 580.0, 1479.0, 52.5], DLyYX878I2, 5692104]
[paragraph, [276.0, 651.0, 1281.0, 52.5], UQxFEQiY9l, 5692104]
[paragraph, [294.0, 729.0, 1377.0, 52.5], R2DtJ2xBt0, 5692104]
[paragraph, [294.0, 806.0, 1396.0, 52.5], cpa4X45C0R, 5692104]
[paragraph, [313.0, 890.0, 843.0, 52.5], wDOgEqSjhP, 5692104]
[paragraph, [282.0, 964.0, 750.0, 52.5], 6zgUIcKPa8, 5692104]
[paragraph, [207.0, 1039.0, 1796.0, 52.5], J4vpxwAmL0, 5692104]
[paragraph, [207.0, 1091.5, 1796.0, 52.5], J4vpxwAmL0, 5692104]
[paragraph, [322.0, 1200.0, 1026.0, 52.5], aVD-yyDawM, 5692104]
[paragraph, [192.0, 1662.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1714.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1767.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1819.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1872.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1924.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 1977.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2029.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2082.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2134.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2187.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2239.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2292.0, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [192.0, 2344.5, 1821.0, 52.5], KAMPbTh7oA, 5692104]
[paragraph, [217.0, 2451.0, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2503.5, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2556.0, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2608.5, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2661.0, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2713.5, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [217.0, 2766.0, 1793.0, 52.5], 36yecWfmeA, 5692104]
[paragraph, [316.0, 2854.0, 1023.0, 52.5], GQ6YwYigEo, 5692104]
[paragraph, [288.0, 2928.0, 384.0, 52.5], _qEo4-cqEJ, 5692104]
[paragraph, [204.0, 3000.0, 1796.0, 52.5], _cnu9HsNeq, 5692104]
[paragraph, [204.0, 3052.5, 1796.0, 52.5], _cnu9HsNeq, 5692104]
[paragraph, [204.0, 3105.0, 1796.0, 52.5], _cnu9HsNeq, 5692104]
[paragraph, [204.0, 3157.5, 1796.0, 52.5], _cnu9HsNeq, 5692104]
[paragraph, [204.0, 3210.0, 1796.0, 52.5], _cnu9HsNeq, 5692104]
[paragraph, [204.0, 3262.5, 1796.0, 52.5], _cnu9HsNeq, 5692104]
