[2484, 1767]
[paragraph, [298.0, 370.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 406.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 442.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 478.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 514.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 550.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 586.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 622.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 658.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 694.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 730.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 766.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 802.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 838.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 874.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 910.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 946.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 982.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1018.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1054.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1090.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1126.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1162.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1198.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1234.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1270.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1306.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1342.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1378.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1414.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1450.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1486.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1522.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1558.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[paragraph, [298.0, 1594.0, 1241.0, 36.0], shoonya_1sS5VXOJIRFKCF, 5753861]
[section-title, [297.0, 1681.0, 447.0, 52.5], xKvUSkYIGW, 5753861]
[paragraph, [299.0, 1759.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1795.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1831.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1867.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1903.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1939.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 1975.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2011.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2047.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2083.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2119.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2155.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
[paragraph, [299.0, 2191.0, 1232.0, 36.0], shoonya_0sH34YKS3WQMAL, 5753861]
