[842, 595]
[folio, [239.0, 127.0, 133.0, 18.0], Fzi80jCfqt, 6513593]
[paragraph, [141.0, 160.0, 329.0, 18.0], shoonya_0s2XQXKZ6PXX5C, 6513593]
[paragraph, [141.0, 178.0, 329.0, 18.0], shoonya_0s2XQXKZ6PXX5C, 6513593]
[paragraph, [142.0, 211.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 229.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 247.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 265.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 283.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 301.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 319.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 337.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 355.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 373.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 391.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 409.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 427.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 445.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 463.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 481.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 499.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 517.0, 327.0, 18.0], E8VO3JpSrw, 6513593]
[paragraph, [142.0, 537.0, 327.0, 18.0], KUjCHBPMup, 6513593]
[paragraph, [142.0, 570.0, 326.0, 18.0], YZH1j909Ik, 6513593]
[paragraph, [142.0, 588.0, 326.0, 18.0], YZH1j909Ik, 6513593]
[paragraph, [142.0, 606.0, 326.0, 18.0], YZH1j909Ik, 6513593]
[paragraph, [142.0, 624.0, 326.0, 18.0], YZH1j909Ik, 6513593]
[paragraph, [142.0, 642.0, 326.0, 18.0], YZH1j909Ik, 6513593]
