[2061, 1233]
[paragraph, [101.0, 115.0, 1021.0, 36.0], IuLoAE25zH, 5691632]
[paragraph, [101.0, 151.0, 1021.0, 36.0], IuLoAE25zH, 5691632]
[paragraph, [101.0, 187.0, 1021.0, 36.0], IuLoAE25zH, 5691632]
[paragraph, [107.0, 237.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 273.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 309.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 345.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 381.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 417.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 453.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 489.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 525.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [107.0, 561.0, 1018.0, 36.0], asX2Z51k39, 5691632]
[paragraph, [110.0, 628.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [110.0, 664.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [110.0, 700.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [110.0, 736.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [110.0, 772.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [110.0, 808.0, 1012.0, 36.0], vTFlQhM3ok, 5691632]
[paragraph, [116.0, 855.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [116.0, 891.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [116.0, 927.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [116.0, 963.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [116.0, 999.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [116.0, 1035.0, 1005.0, 36.0], Gzk9wVPxqa, 5691632]
[paragraph, [120.0, 1077.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1113.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1149.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1185.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1221.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1257.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [120.0, 1293.0, 996.0, 36.0], shoonya_0sF226TLYMKZ7O, 5691632]
[paragraph, [122.0, 1357.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1393.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1429.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1465.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1501.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1537.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1573.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1609.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [122.0, 1645.0, 979.0, 36.0], shoonya_3sRKSU7PCXMSP4, 5691632]
[paragraph, [124.0, 1707.0, 981.0, 36.0], shoonya_2sYP132389ULKG, 5691632]
[paragraph, [124.0, 1743.0, 981.0, 36.0], shoonya_2sYP132389ULKG, 5691632]
[paragraph, [124.0, 1779.0, 981.0, 36.0], shoonya_2sYP132389ULKG, 5691632]
[paragraph, [124.0, 1815.0, 981.0, 36.0], shoonya_2sYP132389ULKG, 5691632]
