[800, 363]
[section-title, [31.0, 42.0, 193.0, 30.0], KnVvFhYjSk, 6473700]
[ordered-list, [9.0, 96.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 114.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 132.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 150.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 168.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 186.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 204.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 222.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 240.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 258.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 276.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 294.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 312.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 330.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[ordered-list, [9.0, 348.0, 238.0, 18.0], shoonya_3sA6Y0JQG26MTA, 6473700]
[figure-caption, [42.0, 694.0, 275.0, 18.0], shoonya_1s3P9W39CHW0KH, 6473700]
[figure-caption, [42.0, 712.0, 275.0, 18.0], shoonya_1s3P9W39CHW0KH, 6473700]
[contact-info, [44.0, 765.0, 172.0, 18.0], shoonya_7s06WKGOWCENUM, 6473700]
