[2339, 1609]
[folio, [839.0, 94.0, 552.0, 36.0], RGLf9RV7yq, 5656688]
[folio, [839.0, 130.0, 552.0, 36.0], RGLf9RV7yq, 5656688]
[folio, [210.0, 108.0, 411.0, 36.0], -wlMIPUfOB, 5656688]
[folio, [210.0, 144.0, 411.0, 36.0], -wlMIPUfOB, 5656688]
[author, [678.0, 331.0, 233.0, 36.0], EvCjHJWbgr, 5656688]
[contact-info, [453.0, 389.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[contact-info, [453.0, 425.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[contact-info, [453.0, 461.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[contact-info, [453.0, 497.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[contact-info, [453.0, 533.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[contact-info, [453.0, 569.0, 745.0, 36.0], 7wzyHcJ2Vv, 5656688]
[paragraph, [136.0, 764.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 800.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 836.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 872.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 908.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 944.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 980.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [136.0, 1016.0, 1330.0, 36.0], shoonya_3s8Z5W806CPJ85, 5656688]
[paragraph, [138.0, 1096.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1132.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1168.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1204.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1240.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1276.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1312.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1348.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1384.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1420.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1456.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [138.0, 1492.0, 1325.0, 36.0], shoonya_0sMK1S4KWPHFMH, 5656688]
[paragraph, [136.0, 1555.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1591.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1627.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1663.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1699.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1735.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1771.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [136.0, 1807.0, 1330.0, 36.0], shoonya_2s5U5HRHDXFZES, 5656688]
[paragraph, [202.0, 1880.0, 1245.0, 36.0], ffsrcxBcX6, 5656688]
[paragraph, [202.0, 1916.0, 1245.0, 36.0], ffsrcxBcX6, 5656688]
[unordered-list, [108.0, 1961.0, 1386.0, 36.0], PfdDvt5-hK, 5656688]
[unordered-list, [108.0, 1997.0, 1386.0, 36.0], PfdDvt5-hK, 5656688]
[unordered-list, [108.0, 2033.0, 1386.0, 36.0], PfdDvt5-hK, 5656688]
[folio, [909.0, 2146.0, 564.0, 36.0], F2oyarE2fV, 5656688]
[folio, [909.0, 2182.0, 564.0, 36.0], F2oyarE2fV, 5656688]
[folio, [143.0, 2165.0, 539.0, 36.0], shoonya_5sGX7JOCP0YP4B, 5656688]
