[789, 571]
[folio, [178.0, 59.0, 213.0, 18.0], shoonya_1sQOMC7DG1YOGN, 5702034]
[paragraph, [54.0, 97.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 115.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 133.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 151.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 169.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 187.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [54.0, 205.0, 461.0, 18.0], shoonya_0sMSYJLH2AWYKN, 5702034]
[paragraph, [52.0, 240.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 258.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 276.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 294.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 312.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 330.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 348.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 366.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [52.0, 384.0, 465.0, 18.0], eF7Qp_40Hy, 5702034]
[paragraph, [56.0, 403.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [56.0, 421.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [56.0, 439.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [56.0, 457.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [56.0, 475.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [56.0, 493.0, 462.0, 18.0], oojVf7oLHE, 5702034]
[paragraph, [50.0, 518.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 536.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 554.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 572.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 590.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 608.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 626.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [50.0, 644.0, 476.0, 18.0], GE1_QFl-Si, 5702034]
[paragraph, [56.0, 682.0, 465.0, 18.0], wxmJIAeXGx, 5702034]
[paragraph, [56.0, 700.0, 465.0, 18.0], wxmJIAeXGx, 5702034]
