[789, 571]
[folio, [247.0, 58.0, 74.0, 18.0], shoonya_2sXFMP1YYE33GU, 5702452]
[paragraph, [50.0, 93.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 111.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 129.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 147.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 165.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 183.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 201.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 219.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 237.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 255.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 273.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [50.0, 291.0, 458.0, 18.0], shoonya_0sW7DKZBNV6SPI, 5702452]
[paragraph, [52.0, 326.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 344.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 362.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 380.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 398.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 416.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 434.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 452.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 470.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 488.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 506.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 524.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 542.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 560.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 578.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 596.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 614.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 632.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 650.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[paragraph, [52.0, 668.0, 458.0, 18.0], shoonya_1sW72AD1YAGY61, 5702452]
[footnote, [81.0, 706.0, 258.0, 18.0], fh2v8Fr1Hs, 5702452]
