[2339, 1656]
[paragraph, [187.0, 196.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 232.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 268.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 304.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 340.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 376.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 412.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [187.0, 448.0, 1278.0, 36.0], shoonya_2s9LZO10ZP2C4C, 5731388]
[paragraph, [186.0, 536.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 572.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 608.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 644.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 680.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 716.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 752.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 788.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 824.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 860.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 896.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 932.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 968.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1004.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1040.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1076.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1112.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1148.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1184.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [186.0, 1220.0, 1282.0, 36.0], shoonya_0s9FG9ULRABJJR, 5731388]
[paragraph, [185.0, 1306.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1342.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1378.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1414.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1450.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1486.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1522.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1558.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1594.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1630.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1666.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1702.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1738.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1774.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1810.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1846.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1882.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1918.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1954.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 1990.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 2026.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 2062.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
[paragraph, [185.0, 2098.0, 1283.0, 36.0], shoonya_1sECK2U0922U38, 5731388]
