[2084, 1289]
[paragraph, [125.0, 276.0, 1023.0, 36.0], bR8VE_-YWz, 5661063]
[ordered-list, [109.0, 324.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 360.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 396.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 432.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 468.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 504.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 540.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 576.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 612.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 648.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 684.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 720.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 756.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 792.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[ordered-list, [109.0, 828.0, 1040.0, 36.0], shoonya_0sYTMDQWI0OEOB, 5661063]
[paragraph, [119.0, 880.0, 1037.0, 36.0], -15yIZdRMp, 5661063]
[paragraph, [119.0, 916.0, 1037.0, 36.0], -15yIZdRMp, 5661063]
[paragraph, [119.0, 952.0, 1037.0, 36.0], -15yIZdRMp, 5661063]
[paragraph, [119.0, 988.0, 1037.0, 36.0], -15yIZdRMp, 5661063]
[ordered-list, [139.0, 1042.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1078.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1114.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1150.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1186.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1222.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1258.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1294.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1330.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1366.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1402.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1438.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1474.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1510.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1546.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1582.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1618.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1654.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1690.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1726.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1762.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1798.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[ordered-list, [139.0, 1834.0, 1025.0, 36.0], shoonya_2sD98AEA7PL596, 5661063]
[folio, [631.0, 1937.0, 657.0, 36.0], shoonya_1sB4LBZU1WET6K, 5661063]
[folio, [631.0, 1973.0, 657.0, 36.0], shoonya_1sB4LBZU1WET6K, 5661063]
