[3508, 2481]
[contact-info, [687.0, 142.0, 1291.0, 52.5], FiWrlbWwTb, 6515656]
[contact-info, [687.0, 194.5, 1291.0, 52.5], FiWrlbWwTb, 6515656]
[contact-info, [687.0, 247.0, 1291.0, 52.5], FiWrlbWwTb, 6515656]
[contact-info, [687.0, 299.5, 1291.0, 52.5], FiWrlbWwTb, 6515656]
[contact-info, [687.0, 352.0, 1291.0, 52.5], FiWrlbWwTb, 6515656]
[section-title, [1015.0, 548.0, 442.0, 93.0], OaRSMliDHB, 6515656]
[folio, [628.0, 758.0, 1217.0, 52.5], nV62RMKQvQ, 6515656]
[dateline, [1938.0, 1018.0, 319.0, 52.5], oKkxGqkxde, 6515656]
[paragraph, [213.0, 1294.0, 284.0, 52.5], nVKY8ZLiXC, 6515656]
[paragraph, [207.0, 1411.0, 2090.0, 52.5], h-IYYiS5d9, 6515656]
[paragraph, [207.0, 1463.5, 2090.0, 52.5], h-IYYiS5d9, 6515656]
[paragraph, [207.0, 1516.0, 2090.0, 52.5], h-IYYiS5d9, 6515656]
[paragraph, [207.0, 1568.5, 2090.0, 52.5], h-IYYiS5d9, 6515656]
[paragraph, [207.0, 1621.0, 2090.0, 52.5], h-IYYiS5d9, 6515656]
[paragraph, [201.0, 1767.0, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 1819.5, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 1872.0, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 1924.5, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 1977.0, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 2029.5, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 2082.0, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 2134.5, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 2187.0, 2121.0, 52.5], uRGbFph1xk, 6515656]
[paragraph, [201.0, 2239.5, 2121.0, 52.5], uRGbFph1xk, 6515656]
[sub-section-title, [167.0, 2613.0, 523.0, 73.5], E4Hfnf9htq, 6515656]
[paragraph, [223.0, 2721.0, 2069.0, 52.5], l91Kp8aGeA, 6515656]
[paragraph, [223.0, 2773.5, 2069.0, 52.5], l91Kp8aGeA, 6515656]
[paragraph, [223.0, 3043.0, 672.0, 52.5], izN16zr_rt, 6515656]
